"resource_name","resource_type","access_class","current_environment_evidence","access_method","license_status","source_url","notes"
"query_geo","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_dbsnp","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_ucsc","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_ensembl","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_opentarget_genetics","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_opentarget","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_gwas_catalog","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_gnomad","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"blast_sequence","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_reactome","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_regulomedb","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_pride","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_gtopdb","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"region_to_ccre_screen","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"get_genes_near_ccre","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_remap","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_mpd","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_emdb","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"affinity_capture-ms.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"affinity_capture-rna.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"BindingDB_All_202409.tsv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"broad_repurposing_hub_molecule_with_smiles.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"broad_repurposing_hub_phase_moa_target_info.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"co-fractionation.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"czi_census_datasets_v4.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"DisGeNET.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"dosage_growth_defect.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"enamine_cloud_library_smiles.pkl","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"genebass_missense_LC_filtered.pkl","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"genebass_pLoF_filtered.pkl","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"genebass_synonymous_filtered.pkl","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"gene_info.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"genetic_interaction.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"go-plus.json","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"gtex_tissue_gene_tpm.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"gwas_catalog.pkl","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"marker_celltype.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"McPAS-TCR.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"miRDB_v6.0_results.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"miRTarBase_microRNA_target_interaction.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"miRTarBase_microRNA_target_interaction_pubmed_abtract.txt","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"miRTarBase_MicroRNA_Target_Sites.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"mousemine_m1_positional_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"mousemine_m2_curated_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"mousemine_m3_regulatory_target_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"mousemine_m5_ontology_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"mousemine_m8_celltype_signature_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"mousemine_mh_hallmark_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c1_positional_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c2_curated_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c3_regulatory_target_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c3_subset_transcription_factor_targets_from_GTRD.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c4_computational_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c5_ontology_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c6_oncogenic_signature_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c7_immunologic_signature_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_c8_celltype_signature_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"msigdb_human_h_hallmark_geneset.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"omim.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"proteinatlas.tsv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"proximity_label-ms.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"reconstituted_complex.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"synthetic_growth_defect.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"synthetic_lethality.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"synthetic_rescue.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"two-hybrid.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"variant_table.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"Virus-Host_PPI_P-HIPSTER_2020.csv","raw_dataframe","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"biopython","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"scanpy","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"scikit-bio","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"anndata","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"mudata","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"pyliftover","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"biopandas","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"biotite","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"gget","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"lifelines","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"gseapy","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"scrublet","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"cellxgene-census","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
"hyperopt","software","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","Not specified in visible registry; no access test performed.","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative UNKNOWN classification; no API request, software installation, connector use, or download attempted."
