"resource_name","resource_registry_id","required_by_workflows","current_runtime_status","actual_access_method","claude_connector","mcp","local_cli","python_package","r_package","web","public_api","credential_required","notes","resource_type"
"query_cbioportal","rr_2211d800b2013478","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_clinvar","rr_645a40d281e79851","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_geo","rr_1c4655bb22fbb7db","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_dbsnp","rr_afd01c272516c6d6","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_ucsc","rr_e1aebceaa9f1d6d0","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_ensembl","rr_15546cfe73f61f16","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_opentarget_genetics","rr_5a7696c60373c7e5","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_opentarget","rr_56997235a4386614","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_gwas_catalog","rr_e76b069afada679e","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_gnomad","rr_7f1b7ecdc33918d6","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"blast_sequence","rr_6025b46467981b1a","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_reactome","rr_b760f6265def114a","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_regulomedb","rr_95cad1b139e52ec7","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_pride","rr_7391f966e9e313b2","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_gtopdb","rr_fa60fdef77aef74d","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"region_to_ccre_screen","rr_58310eefdfd92c4d","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"get_genes_near_ccre","rr_219933a2a2aee633","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_remap","rr_cd7de7a31f3b8b2c","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_mpd","rr_549200708a832063","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_emdb","rr_576e83264342baf1","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"affinity_capture-ms.csv","rr_4b88aba2c8e95df9","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"affinity_capture-rna.csv","rr_2cb84c0f48bf5270","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"BindingDB_All_202409.tsv","rr_f0c00442c8e96bf0","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"broad_repurposing_hub_molecule_with_smiles.csv","rr_7b524ef462ba2dbb","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"broad_repurposing_hub_phase_moa_target_info.csv","rr_8f05f99d8c8be21d","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"co-fractionation.csv","rr_d73ffe234bce5a5c","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"czi_census_datasets_v4.csv","rr_93e689d6d5410b52","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"DisGeNET.csv","rr_8d7c79bc9ae0c94d","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"dosage_growth_defect.csv","rr_5afdb9d781b24cf9","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"enamine_cloud_library_smiles.pkl","rr_cae56a6fc079edfe","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"genebass_missense_LC_filtered.pkl","rr_9a14bc56f779be99","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"genebass_pLoF_filtered.pkl","rr_a6c5e2db6083fc39","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"genebass_synonymous_filtered.pkl","rr_20f437d36e38b364","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"gene_info.csv","rr_a400bb223d2d3495","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"genetic_interaction.csv","rr_90715d620be3b2ea","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"go-plus.json","rr_06249cbac66363e0","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"gtex_tissue_gene_tpm.csv","rr_fb347e2e44933606","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"gwas_catalog.pkl","rr_a8a33018ded29dcf","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"marker_celltype.csv","rr_13abe5da60106514","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"McPAS-TCR.csv","rr_28d38756943c5db2","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"miRDB_v6.0_results.csv","rr_76075b19a78f7133","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"miRTarBase_microRNA_target_interaction.csv","rr_2c6c92725d5d8eea","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"miRTarBase_microRNA_target_interaction_pubmed_abtract.txt","rr_94cb0df90b09a27d","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"miRTarBase_MicroRNA_Target_Sites.csv","rr_3c99f7b6bf704a05","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"mousemine_m1_positional_geneset.csv","rr_9e7c1b5a54a7038c","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"mousemine_m2_curated_geneset.csv","rr_fbff42f40e94b0c4","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"mousemine_m3_regulatory_target_geneset.csv","rr_d0f13b8ab73d83a4","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"mousemine_m5_ontology_geneset.csv","rr_6ba706beb4e4f3bc","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"mousemine_m8_celltype_signature_geneset.csv","rr_225808a995a2190c","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"mousemine_mh_hallmark_geneset.csv","rr_65f4677bcbcaac7c","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c1_positional_geneset.csv","rr_01658e940a84b4ac","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c2_curated_geneset.csv","rr_e67ccb18c212a938","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c3_regulatory_target_geneset.csv","rr_a171ac078c9bd148","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c3_subset_transcription_factor_targets_from_GTRD.csv","rr_3e2736772b59281f","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c4_computational_geneset.csv","rr_b62ecd39f58505ec","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c5_ontology_geneset.csv","rr_28ca7b2fad167f48","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c6_oncogenic_signature_geneset.csv","rr_f6e7a003a2b6b7c8","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c7_immunologic_signature_geneset.csv","rr_5f1e717fe4420174","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
"msigdb_human_c8_celltype_signature_geneset.csv","rr_0bbccb826f91b295","","UNKNOWN","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","UNKNOWN","UNKNOWN","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","raw_dataframe"
