"task_type","primary_resource","secondary_resource","fallback_resource","source_skills"
"Call the therapeutic direction of one or more targets in a named disease context.","DepMap CRISPR gene-effect and dependency matrices;GeneBass, GWAS Catalog, and gnomAD;Open Targets","Primary directional literature","","direction-of-effect-concordance"
"Catalog benchmark designs, performance claims, trade-offs, and disagreements.","","","","methods-landscape-review"
"Cautious therapeutic-directionality and druggability assessment","FUSION TWAS","S-PrediXcan","","gwas-to-function-twas"
"Characterize a ligand binding mode from a co-crystal structure.","Protein–Ligand Interaction Profiler (PLIP);RCSB Protein Data Bank","PyMOL;RDKit","Graph-based ligand fragmenter;Hardened angle- and charge-aware geometry classifier;Matplotlib three-dimensional view","ligand-binding-mode-analysis"
"Characterize the consensus signature with pathway enrichment and sensitivity analysis.","Independent human bulk-transcriptome cohorts from GEO;User-supplied expression matrices and metadata","Gene Ontology Biological Process and Reactome pathways;MSigDB Hallmark collection","","consensus-disease-signature"
"Classify candidate regulators as activator-like, repressor-like, or mixed from directional concordance.","ChIP-Atlas;User-provided bulk differential-expression table","Estrogen-response or airway example differential-expression data","Synthetic TP53-driven differential-expression data","upstream-regulator-analysis"
"ClinGen-grounded disease-relationship annotation","gnomAD v2.1.1 loss-of-function constraint","gnomAD v4.1 constraint","Explicit unavailable constraint row","genetic-constraint-gating"
"Clinical-significance and population-frequency annotation","Ensembl Variant Effect Predictor","SnpEff","","genetic-variant-annotation"
"Cluster features by shared quantitative patterns.","User-provided normalized quantitative matrix","Bioconductor ALL demonstration dataset","","bulk-omics-clustering"
"Colocalization and multi-tissue refinement of TWAS signals","FUSION TWAS","S-PrediXcan","","gwas-to-function-twas"
"Combine biological-replicate libraries and identify perturbations with transcriptional phenotypes.","Non-targeting controls and biological-replicate batch labels;User-supplied 10X Feature-Barcode matrices and sgRNA mapping files","glmGamPoi;Papalexi and Satija 2021 ECCITE-seq CRISPRi dataset","CellRanger or a CROP-seq assignment pipeline;Fast t-test screening results;Small synthetic demo dataset","pooled-crispr-screens"
"Compare cell-type composition between groups and across longitudinal timepoints.","User-supplied annotated single-cell reference matched to the bulk tissue and gene identifiers","CELLxGENE Census","Bundled synthetic immune cohort with known proportions","deconvolution-bulk-rnaseq"
"Compare community diversity between two groups.","ANCOM-BC2;ExplorEnz, IUBMB Enzyme Nomenclature, or Rhea;PICRUSt2","ALDEx2;MaAsLin2;scikit-bio","DADA2 or Deblur;Subject-mean Wilcoxon sensitivity analysis","microbiome-analysis"
"Compare confidence profiles from multiple predictors when explicitly requested.","AlphaFold v2;ESMCFold2;UniProt feature table","Boltz-2 or Chai-1;Multiple completed predictors","Boltz-2 then ESMCFold2;Completed partial method output;Omitted domain breakdown with a stated reason","protein-structure-prediction"
"Compare in vitro and in vivo concordance.","","Europe PMC;Unpaywall","Retrieved abstract","literature-preclinical"
"Compare liability profiles across analogs.","ADMET-AI;ChEMBL measured bioactivity;ECFP4 leave-query-out ligand similarity;Fixed 32-target core safety panel","Adaptive nearest-neighbor panel expansion;DeepPurpose morgan_cnn_bindingdb","","off-target-safety-pharmacology"
"Compare malignant or epithelial expression with stromal, immune, and endothelial compartments across single-cell atlases.","CZ CELLxGENE Census or user-provided annotated AnnData;Human Protein Atlas dual-signal RNA and IHC baseline","DepMap;Literature search;Open Targets Platform","Curated whole-cell annotated AnnData","cell-surface-antigen-discovery"
"Compare matched cancer types across cohorts.","cBioPortal public REST API","Literature search","","cancer-cohort-genomics"
"Compare multiple-testing strategies and practical design constraints.","Pilot count data or a DESeq2 object","Bundled tissue-specific coefficient-of-variation database","Default literature-based coefficient of variation 0.4 with sensitivity analysis","experimental-design-statistics"
"Compare named methods or tools for a task and recommend among them.","","","","methods-landscape-review"
"Compare normalized calls from two variant callers.","GIAB truth VCF and confident-region BED;User-supplied build-matched reference and capture-kit BED","UCSC or Ensembl reference sequence","GENCODE exon target BED","variant-calling-from-sequencing"
"Compare or pool safety signals across a drug class.","Packaged run_analysis pipeline over OpenFDA/FAERS.;Whole-FAERS background.","Active-comparator drug set.;Literature records and a summary infographic.;Open Targets target-to-drug resolution.","A class or explicit-drug workflow.;Explicit drug list or canonical class synonym.;Packaged scripts as a documented reference.;Tables, figures, and draft report without additive literature or infographic.","pharmacovigilance-ae-signal-detection"
"Compare perturbation models with a control-mean baseline using per-perturbation and regime-stratified metrics.","Open GEARS-format perturbation dataset;Train-from-base scGPT_human weights","Compatible published fine-tuned checkpoint","Control-mean baseline","virtual-cell-perturbation"
"Compare pocket contacts across structures.","Protein–Ligand Interaction Profiler (PLIP);RCSB Protein Data Bank","PyMOL;RDKit","Graph-based ligand fragmenter;Hardened angle- and charge-aware geometry classifier;Matplotlib three-dimensional view","ligand-binding-mode-analysis"
"Compare regulatory programs across cell types, states, conditions, tissues, or species.","Species-matched SCENIC motif rankings, motif annotations, and TF list","PBMC 3k example data","","grn-pyscenic"
"Compare score distributions across ancestry super-populations.","PGS Catalog score files;User-supplied PLINK genotypes","1000 Genomes Phase 3 example genotypes;PGS Catalog search","Packaged markdown, HTML, or script report;polygenic-risk-score de novo workflow","polygenic-risk-score-prs-catalog"
"Compare transcription-factor binding across cell types and cross-reference preembedded STRING interaction evidence.","Precomputed ChIP-Atlas target-gene TSV files.","STRING interaction-score columns embedded in the ChIP-Atlas TSV.","Binding-score results without STRING support.","chip-atlas-target-genes"
"Compute ROR, PRR, chi-square, confidence intervals, and multiplicity-adjusted signal flags against whole-FAERS or active-comparator backgrounds.","Packaged run_analysis pipeline over OpenFDA/FAERS.;Whole-FAERS background.","Active-comparator drug set.;Literature records and a summary infographic.;Open Targets target-to-drug resolution.","A class or explicit-drug workflow.;Explicit drug list or canonical class synonym.;Packaged scripts as a documented reference.;Tables, figures, and draft report without additive literature or infographic.","pharmacovigilance-ae-signal-detection"
"Conditional manual-gate benchmarking and differential-abundance analysis","CATALYST and FlowSOM","OpenCyto","Descriptive abundance summaries","flow-cytometry-analysis"
"Connectivity mapping and in-silico compound repurposing from a user-provided or constructed transcriptomic signature.","SigCom LINCS API","Broad Drug Repurposing Hub, ChEMBL, TxGNN, MSigDB Hallmark, and Reactome","Local LINCS1000 single-drug-perturbation GMT sets","signature-reversal-lincs"
"Construct and validate a batch-balanced laboratory layout.","Pilot count data or a DESeq2 object","Bundled tissue-specific coefficient-of-variation database","Default literature-based coefficient of variation 0.4 with sensitivity analysis","experimental-design-statistics"
"Convert a disease name, up/down gene list, or differential-expression table into a ranked repurposing shortlist.","Broad Repurposing Hub;LINCS L1000 disease and perturbation signatures","ClinicalTrials.gov;MGI mouse-to-human ortholog mapping","Bundled MGI ortholog fallback table","drug-repurposing-indication-expansion"
"Create a comprehensive report that must pass deterministic verification.","Directly accessible publisher or repository PDFs;User-supplied PDFs","Europe PMC","Abstract or provider-text context","literature-deep-review"
"Create a contact-map analysis and report for a protein–ligand complex.","Protein–Ligand Interaction Profiler (PLIP);RCSB Protein Data Bank","PyMOL;RDKit","Graph-based ligand fragmenter;Hardened angle- and charge-aware geometry classifier;Matplotlib three-dimensional view","ligand-binding-mode-analysis"
"Create actionability and mechanism summaries with position- and protein-domain-aware visualizations.","CIViC nightly TSV exports.;ClinVar NCBI E-utilities esearch and esummary records.","Reviewed human UniProt records and structural features.","Allele-position figures without a UniProt domain track, with protein length inferred from the data.;ClinVar-only allelic series with empty CIViC artifacts.","clinical-variant-allelic-series"
"Create, improve, optimize, audit, or package a computational method against a frozen benchmark.","Frozen benchmark and protected evaluation data","Training-safe literature, ontologies, curated databases, pretrained embeddings, and public datasets","","tusoskill"
"Credible-set and posterior-inclusion-probability interpretation","SuSiE with ancestry-matched signed LD","GTEx v8, eQTL Catalogue, and ENCODE SCREEN annotations","In-sample LD","fine-mapping-susie"
"Cross-method pathway validation using both GSEA and ORA","MSigDB Hallmark and Reactome gene sets","Gene Ontology Biological Process","Base R SVG graphics device","functional-enrichment-from-degs"
"Cross-version gnomAD constraint comparison","gnomAD v2.1.1 loss-of-function constraint","gnomAD v4.1 constraint","Explicit unavailable constraint row","genetic-constraint-gating"
"Define consensus and high-confidence core up- and down-regulated gene sets.","Independent human bulk-transcriptome cohorts from GEO;User-supplied expression matrices and metadata","Gene Ontology Biological Process and Reactome pathways;MSigDB Hallmark collection","","consensus-disease-signature"
"Define diagnosis-code cohorts and contemporaneous population or active comparators, build baseline Table 1, summarize treatment patterns, and analyze time-to-event outcomes.","User-supplied structured clinical tables","MIMIC-IV demo","Small synthetic fixture matching the canonical schema","real-world-evidence"
"Design a de novo mini-protein binder against a target surface.","Experimental PDB or mmCIF target structure","UniProt or AlphaFold target model","","binder-antibody-design"
"Design a layout for a 96-well or 384-well experiment.","designit;ggplate;pwr","agricolae;openxlsx;plater","A different random seed, more iterations, or another spatial method;Base R SVG export or PNG-only output;CSV-only export","microplate-layout-design"
"Design and run two or three realistic prompts covering a simple case, an edge case, and a scientifically risky case.","Existing Biomni skills, capabilities, tool schemas, installed packages, documented helpers, and mounted data resources.","Dedicated Biomni PDF, Word-document, or presentation generation skills.;External packages, public APIs, and custom scripts.","A minimal package containing SKILL.md only.;Testing an existing user draft.","phylo-create-skill"
"Design antibody or nanobody CDR loops on an existing framework.","Experimental PDB or mmCIF target structure","UniProt or AlphaFold target model","","binder-antibody-design"
"Design compatible primers for multiplex PCR, sequencing, or SNP genotyping.","Packaged primer-design, validation, report, and export scripts.;User-supplied target sequence or resolvable accession.","Local blastn with a genomic or transcriptomic database.;NCBI Primer-BLAST.;Packaged best-practice, parameter, troubleshooting, MIQE, and code-example references.","CSV files mirroring workbook sheets.;reportlab PDF generation.;Transcript-only in-silico PCR with qualified specificity_status.","pcr-primer-design"
"Design MIQE-oriented qPCR primer pairs.","Packaged primer-design, validation, report, and export scripts.;User-supplied target sequence or resolvable accession.","Local blastn with a genomic or transcriptomic database.;NCBI Primer-BLAST.;Packaged best-practice, parameter, troubleshooting, MIQE, and code-example references.","CSV files mirroring workbook sheets.;reportlab PDF generation.;Transcript-only in-silico PCR with qualified specificity_status.","pcr-primer-design"
"Design one or both second-generation CAR variants from an experimentally validated scFv, including codon-optimized sequence and GenBank deliverables.","DepMap broad-essentiality data.;Published screen design, guide library, and experimentally validated CAR-part sources.","A lineage-restricted DepMap subset, published primary-T-cell screen, or pathway enrichment.","Read-driven guide-library reconstruction using the vector anchor and a reference library.","cell-therapy-car-design"
"Design standard PCR primers for amplification, cloning, or genotyping.","Packaged primer-design, validation, report, and export scripts.;User-supplied target sequence or resolvable accession.","Local blastn with a genomic or transcriptomic database.;NCBI Primer-BLAST.;Packaged best-practice, parameter, troubleshooting, MIQE, and code-example references.","CSV files mirroring workbook sheets.;reportlab PDF generation.;Transcript-only in-silico PCR with qualified specificity_status.","pcr-primer-design"
"Design TaqMan probes for probe-based qPCR assays.","Packaged primer-design, validation, report, and export scripts.;User-supplied target sequence or resolvable accession.","Local blastn with a genomic or transcriptomic database.;NCBI Primer-BLAST.;Packaged best-practice, parameter, troubleshooting, MIQE, and code-example references.","CSV files mirroring workbook sheets.;reportlab PDF generation.;Transcript-only in-silico PCR with qualified specificity_status.","pcr-primer-design"
"Detect and score structural pockets on an experimental or predicted target structure.","Ligand-bound, high-resolution experimental PDB structure;Open Targets Platform evidence","AlphaFold structural model","Non-structural tractability, clinical, safety, and literature evidence","target-tractability-druggability"
"Detect outliers or batch structure and compare clustering approaches.","User-provided normalized quantitative matrix","Bioconductor ALL demonstration dataset","","bulk-omics-clustering"
"Determine what a proposed Biomni skill should do, when it should trigger, and what outputs it should produce.","Existing Biomni skills, capabilities, tool schemas, installed packages, documented helpers, and mounted data resources.","Dedicated Biomni PDF, Word-document, or presentation generation skills.;External packages, public APIs, and custom scripts.","A minimal package containing SKILL.md only.;Testing an existing user draft.","phylo-create-skill"
"Determine which omics views contribute to each latent factor.","MOFA2","ComplexHeatmap;ggprism, circlize, reshape2, and RColorBrewer;MOFAdata CLL example","Analysis without trait plots;PNG-only figures;Reduced factor count;Top 5,000 most variable features per view","multi-omics-integration"
"Diagnose model, data, representation, objective, robustness, and efficiency bottlenecks through controlled experiments and ablations.","Frozen benchmark and protected evaluation data","Training-safe literature, ontologies, curated databases, pretrained embeddings, and public datasets","","tusoskill"
"Discover a sparse biomarker panel for a binary clinical outcome.","User expression matrix and binary-outcome metadata","MARS Consortium sepsis demonstration dataset","Same-platform validation cohort","elastic-net-biomarker-panel"
"Discover highly connected hub genes within modules.","User-supplied normalized expression matrix and matched sample metadata","Female mouse liver example dataset","An alternative analysis method","coexpression-network"
"Discover longitudinal drug-response transcriptomic cohorts, score gene signatures with GSVA, compare change from baseline between responders and non-responders, and assess cross-cohort concordance.","NCBI GEO and ArrayExpress or BioStudies standard APIs","MSigDB Hallmark and Reactome immune gene sets","Categorical responder and non-responder labels","signature-response-enrichment"
"Discover public transcriptomics, proteomics, metabolomics, epigenomics, genomics, single-cell, spatial, lipidomics, and multi-omics datasets.","BioStudies and ArrayExpress.;CZ CELLxGENE.;GDC and TCGA.;GEO and SRA through NCBI E-utilities.;OmicsDI.;PRIDE and ProteomeXchange.","cBioPortal.;ENCODE and IHEC or EpiRR.;Expression Atlas and Human Protein Atlas.;Human Cell Atlas.;MassIVE/GNPS, jPOST, iProX, and ENA.;MetaboLights and Metabolomics Workbench.","OmicsDI keyword search.;ProteomeCentral.;Targeted searches of dbGaP, EGA, and JGA.;Targeted searches of ICGC, CPTAC, AWS Open Data, UK Biobank, and FinnGen.;Targeted searches of Zenodo, Figshare, Dryad, OSF, Harvard Dataverse, and Synapse.","omics-dataset-retrieval"
"Discover spatial tissue domains through clustering.","User-provided 10x Visium data","10x Genomics V1_Human_Heart example","","spatial-transcriptomics"
"Discover, screen, and extract studies for a literature-driven meta-analysis.","User-supplied extraction table matching the documented template","Published primary studies identified from a research question","","evidence-synthesis-meta-analysis"
"Disease-specific knowledge-graph target prioritization","PrimeKG with Open Targets genetic-association seeds and clinical labels","PrimeKG with DisGeNET-derived seeds and optional TxGNN layer","Seed-recovery face-validity check","knowledge-graph-target-reasoning"
"Disease-versus-control target discovery, cell-type-resolved differential expression and pathway analysis, ligand-receptor analysis, genetic-evidence integration, and druggability-based prioritization.","Annotated AnnData object","Raw or filtered count matrix","Cell-level Wilcoxon and Open Targets-only genetic evidence","scrna-disease-drug-discovery"
"Distribute controls across plate quadrants.","designit;ggplate;pwr","agricolae;openxlsx;plater","A different random seed, more iterations, or another spatial method;Base R SVG export or PNG-only output;CSV-only export","microplate-layout-design"
"Draft a bioinformatics SKILL.md and only useful supporting scripts, references, or assets.","Existing Biomni skills, capabilities, tool schemas, installed packages, documented helpers, and mounted data resources.","Dedicated Biomni PDF, Word-document, or presentation generation skills.;External packages, public APIs, and custom scripts.","A minimal package containing SKILL.md only.;Testing an existing user draft.","phylo-create-skill"
"Elicit domain requirements for data formats, databases, computation, platform integration, and scientific correctness.","Existing Biomni skills, capabilities, tool schemas, installed packages, documented helpers, and mounted data resources.","Dedicated Biomni PDF, Word-document, or presentation generation skills.;External packages, public APIs, and custom scripts.","A minimal package containing SKILL.md only.;Testing an existing user draft.","phylo-create-skill"
"Enumerate binding-pocket residues and geometric contacts.","Protein–Ligand Interaction Profiler (PLIP);RCSB Protein Data Bank","PyMOL;RDKit","Graph-based ligand fragmenter;Hardened angle- and charge-aware geometry classifier;Matplotlib three-dimensional view","ligand-binding-mode-analysis"
"Estimate cell-type fractions in bulk RNA-seq samples.","User-supplied annotated single-cell reference matched to the bulk tissue and gene identifiers","CELLxGENE Census","Bundled synthetic immune cohort with known proportions","deconvolution-bulk-rnaseq"
"Estimate differential expression from replicated raw RNA-seq counts.","User raw count matrix and matching sample metadata","Bioconductor pasilla dataset","edgeR quasi-likelihood;limma-voom","bulk-rnaseq-counts-to-de-deseq2"
"Estimate discovery-cohort discrimination and calibration.","User expression matrix and binary-outcome metadata","MARS Consortium sepsis demonstration dataset","Same-platform validation cohort","elastic-net-biomarker-panel"
"Estimate overall or stratified Kaplan-Meier survival curves with confidence intervals and risk tables.","User-provided clinical right-censored survival dataset","NCCTG Lung Cancer example cohort;Rotterdam Breast Cancer example cohort","Rotterdam or Lung built-in cohort","survival-analysis-clinical"
"Estimate power for a proposed two-group bulk RNA-seq or analogous count-based experiment.","Pilot count data or a DESeq2 object","Bundled tissue-specific coefficient-of-variation database","Default literature-based coefficient of variation 0.4 with sensitivity analysis","experimental-design-statistics"
"Estimate power, expected sample size, expected duration, and adaptive-decision probabilities across effect scenarios.","rpact analytic design calculations.","Package design-methods, validation-guide, configuration-schema, and caveat references.","","clinical-trial-design-simulation"
"Estimate prognostic associations with multivariable Cox proportional hazards regression.","User-provided clinical right-censored survival dataset","NCCTG Lung Cancer example cohort;Rotterdam Breast Cancer example cohort","Rotterdam or Lung built-in cohort","survival-analysis-clinical"
"Estimate the causal effect of an exposure on an outcome from two GWAS summary-statistic datasets.","OpenGWAS trait records","User-provided GWAS summary-statistic files","Unclumped harmonized instruments","mendelian-randomization-twosamplemr"
"Evaluate fitted PK/PD models with diagnostics, parameter precision, and visual predictive checks.","nlmixr2 and rxode2;User-supplied therapeutic target window","LiteratureSearch;nlmixr2data public example datasets","No-dose result with a request for a target window;PK-only workflow","pkpd-pharmacometrics"
"Evaluate generalization to unseen single and combinatorial perturbation regimes.","Open GEARS-format perturbation dataset;Train-from-base scGPT_human weights","Compatible published fine-tuned checkpoint","Control-mean baseline","virtual-cell-perturbation"
"Evaluate heterogeneity, influence, leave-one-out stability, subgroups, and small-study diagnostics.","User-supplied extraction table matching the documented template","Published primary studies identified from a research question","","evidence-synthesis-meta-analysis"
"Evaluate MHC-II immunogenicity and framework humanness.","Local NetMHCIIpan","Hosted IEDB prediction API","Unavailable immunogenicity axis","antibody-developability-humanization"
"Evaluate public ChIP-seq evidence for regulator-to-gene-set relationships, optionally within a selected cell class.","Official ChIP-Atlas Enrichment Analysis API and public ChIP-seq experiments.","Ensembl coordinate lookup.","ChIP-Atlas enrichment results without independent Ensembl coordinate verification.","chip-atlas-peak-enrichment"
"Extract in vitro models, assays, findings, and direction of effect.","","Europe PMC;Unpaywall","Retrieved abstract","literature-preclinical"
"Extract in vivo models, doses/routes, endpoints, and findings.","","Europe PMC;Unpaywall","Retrieved abstract","literature-preclinical"
"Find differential peaks between two conditions or cell types using ChIP-seq, ATAC-seq, or DNase-seq experiments.","ChIP-Atlas Diff Analysis API and its public experiment data.","UCSC REST gene annotation.","Unannotated statistical region results.","chip-atlas-diff-analysis"
