"source_skill","source_slug","source_normalized_file","parent_claude_skill","secondary_parent_skills","workflow_file","deployment_workflow_file","resources_used","provenance_file","coverage_status","notes"
"cell-therapy-qc-scorecard","cell-therapy-qc-scorecard","02_normalized/cell-therapy-qc-scorecard.yaml","cell-therapy-design-and-qc","","_source_workflows/cell-therapy-qc-scorecard/WORKFLOW.md","cell-therapy-design-and-qc/references/source_workflows/cell-therapy-qc-scorecard/WORKFLOW.md","rr_234055b40b781128;rr_672b3bbfa77e2e9f;rr_937281a8af390f92;rr_ec2c9dff0cb1a776;rr_063ec900fce6482b;rr_379ab3b524dc4975","_source_workflows/cell-therapy-qc-scorecard/provenance.md","PASS","Keep single-cell lot-release QC, identity/contamination modules, and GREEN/AMBER/RED thresholds distinct from receptor design."
"chip-atlas-diff-analysis","chip-atlas-diff-analysis","02_normalized/chip-atlas-diff-analysis.yaml","chromatin-and-epigenomic-analysis","","_source_workflows/chip-atlas-diff-analysis/WORKFLOW.md","chromatin-and-epigenomic-analysis/references/source_workflows/chip-atlas-diff-analysis/WORKFLOW.md","rr_e6b0d38c9ba93ae2;rr_065583dd356d27bd;rr_505f1837691ee20e;rr_b4baa70e28fd2a99;rr_37d1bdc2b1f75241;rr_de49180956a9de1d;rr_553f9602e9fcfdfd;rr_e8b591bb2a3ba240","_source_workflows/chip-atlas-diff-analysis/provenance.md","PASS","Preserve differential peak/DMR comparison and group design; public ChIP-Atlas access is an optional resource adapter."
"chip-atlas-peak-enrichment","chip-atlas-peak-enrichment","02_normalized/chip-atlas-peak-enrichment.yaml","chromatin-and-epigenomic-analysis","","_source_workflows/chip-atlas-peak-enrichment/WORKFLOW.md","chromatin-and-epigenomic-analysis/references/source_workflows/chip-atlas-peak-enrichment/WORKFLOW.md","rr_7d9ebdaeb9f39325;rr_1fedb298cdab04e9;rr_1c0af7477dcd8ba0;rr_b4baa70e28fd2a99;rr_fd17dba06befc3c1;rr_e8b591bb2a3ba240","_source_workflows/chip-atlas-peak-enrichment/provenance.md","PASS","Preserve peak enrichment and background/experiment selection; do not infer TF causality from enrichment alone."
"chip-atlas-target-genes","chip-atlas-target-genes","02_normalized/chip-atlas-target-genes.yaml","regulatory-network-analysis","","_source_workflows/chip-atlas-target-genes/WORKFLOW.md","regulatory-network-analysis/references/source_workflows/chip-atlas-target-genes/WORKFLOW.md","rr_b0b70827f4038a93;rr_c6b8e2594bbd69d3;rr_e391bca8de6ad41c;rr_b4baa70e28fd2a99;rr_5e0ba980ac54aeea;rr_91f1dbec0f86343a","_source_workflows/chip-atlas-target-genes/provenance.md","PASS","Keep public TF-target retrieval as a query mode distinct from de novo network inference; use stable source provenance."
"clinical-trial-design-simulation","clinical-trial-design-simulation","02_normalized/clinical-trial-design-simulation.yaml","clinical-trial-analysis","","_source_workflows/clinical-trial-design-simulation/WORKFLOW.md","clinical-trial-analysis/references/source_workflows/clinical-trial-design-simulation/WORKFLOW.md","rr_b06918eb391ad5e0;rr_07e4838fcaeb255c;rr_5bfccc3167ade2fc;rr_39c84fffe38ec420;rr_9e7f0335ca50709d;rr_6c86225661991b07","_source_workflows/clinical-trial-design-simulation/provenance.md","PASS","Keep confirmatory design, operating characteristics, type-I error, and adaptive stopping as a distinct trial-design mode; no clinical protocol approval claim."
"clinical-variant-allelic-series","clinical-variant-allelic-series","02_normalized/clinical-variant-allelic-series.yaml","variant-analysis-and-interpretation","","_source_workflows/clinical-variant-allelic-series/WORKFLOW.md","variant-analysis-and-interpretation/references/source_workflows/clinical-variant-allelic-series/WORKFLOW.md","rr_ab2e070b7ab4fb1d;rr_d0d71614a57480a9;rr_d28f5db1ff4f7188;rr_80cdaa49c213d80a;rr_4b04c203c86c8c65;rr_5e71673aea7cf480;rr_fda4e5c79c7315b7;rr_66e05683356bf73d;rr_f6ca7235b953bedf","_source_workflows/clinical-variant-allelic-series/provenance.md","PASS","Preserve position-resolved clinical evidence and actionability tiers; keep ClinVar/CIViC adapters replaceable and evidence citations explicit."
"clinicaltrials-landscape","clinicaltrials-landscape","02_normalized/clinicaltrials-landscape.yaml","clinical-trial-analysis","","_source_workflows/clinicaltrials-landscape/WORKFLOW.md","clinical-trial-analysis/references/source_workflows/clinicaltrials-landscape/WORKFLOW.md","rr_3ef7c2ef85f468b4;rr_e4dda73b1ca0e4c5;rr_83d4fbb421a0ed9e;rr_173e1c1b4d0bb143;rr_178baeb270b10c13;rr_f48c55f08412b6c6;rr_78609fcc8c7914c6;rr_8ed55c1c99c2e88c;rr_665edbde6fc3cd1c;rr_ae5d2965f1c73447","_source_workflows/clinicaltrials-landscape/provenance.md","PASS","Keep trial registry landscape mapping separate from simulated trial design and survival estimation; registry data are descriptive."
"coexpression-network","coexpression-network","02_normalized/coexpression-network.yaml","regulatory-network-analysis","","_source_workflows/coexpression-network/WORKFLOW.md","regulatory-network-analysis/references/source_workflows/coexpression-network/WORKFLOW.md","rr_12a726a2c3e2ddd8;rr_c5e6af5a3acdc8fa;rr_2644225052674c6a;rr_cc8f1347f6a35c40;rr_f3a4936deaf955aa;rr_c8a494b2f458c9b8;rr_a487141e81e96829;rr_1651f8dbdd747818","_source_workflows/coexpression-network/provenance.md","PASS","Retain correlation/network construction and module/hub interpretation as a separate mode from TF-target inference."
"consensus-disease-signature","consensus-disease-signature","02_normalized/consensus-disease-signature.yaml","biomarker-and-signature-analysis","","_source_workflows/consensus-disease-signature/WORKFLOW.md","biomarker-and-signature-analysis/references/source_workflows/consensus-disease-signature/WORKFLOW.md","rr_4d1d3f0f0617cd62;rr_4ab74038ee73a6c7;rr_602e7173acc05456;rr_be408b918e6cf8f4;rr_ec2c9dff0cb1a776;rr_5848a81c5e8e9bf9;rr_cf6342a3273e2fcd;rr_0d8b71a2a66e1d47;rr_7a50dd7d85c224fe;rr_de49180956a9de1d;rr_5a49cf84729a19e3;rr_57b3ef434334f606;rr_a487141e81e96829;rr_66807d29733768d5;rr_ac92de44ccdb7ec2;rr_2c63f1530faeb318;rr_bc9f626758dea69f;rr_fb8aa0f717efb03a","_source_workflows/consensus-disease-signature/provenance.md","PASS","Preserve cross-cohort effect-size synthesis, heterogeneity, direction consistency, and sensitivity controls; do not silently pool incompatible cohorts."
"deconvolution-bulk-rnaseq","deconvolution-bulk-rnaseq","02_normalized/deconvolution-bulk-rnaseq.yaml","bulk-rna-and-omics-analysis","","_source_workflows/deconvolution-bulk-rnaseq/WORKFLOW.md","bulk-rna-and-omics-analysis/references/source_workflows/deconvolution-bulk-rnaseq/WORKFLOW.md","rr_01dcac0894926d57;rr_6864c784f9123a4e;rr_d224696436f021a6;rr_a2e61f6310532050;rr_01b987660eb7af31;rr_98c139728f0e5b78;rr_2a2cde9d0f3646a1;rr_e81b06448ef1b2c8;rr_6c0dca6ff0e17cd8;rr_7dadc66200d982df;rr_95ec32fb39850ae1;rr_f186fc13ff7b9e6c;rr_fb444e64323fafa9;rr_6cc0a090d47d9b3b;rr_e2aa541e64a976b4;rr_c5e6a69670a7b4dd","_source_workflows/deconvolution-bulk-rnaseq/provenance.md","PASS","Keep cell-composition inference, reference choice, cross-method concordance, and licensing constraints explicit; not generic clustering."
"direction-of-effect-concordance","direction-of-effect-concordance","02_normalized/direction-of-effect-concordance.yaml","target-evidence-and-tractability","","_source_workflows/direction-of-effect-concordance/WORKFLOW.md","target-evidence-and-tractability/references/source_workflows/direction-of-effect-concordance/WORKFLOW.md","rr_5ebd92bc886805b4;rr_3417e358fe964443;rr_bb671f63cbf20f98;rr_f79b5c42112e2539;rr_d2ee5ce6f038e497;rr_68cf2c6ee6caf3de;rr_81374f2a82ece6c2;rr_35ab27166fd8a660;rr_178baeb270b10c13;rr_78609fcc8c7914c6;rr_f48c55f08412b6c6;rr_f3a4936deaf955aa;rr_cb67117e40f55076;rr_718de81ca41aa545","_source_workflows/direction-of-effect-concordance/provenance.md","PASS","Preserve independent evidence axes, discordance flags, confidence tiers, and citation verification; do not turn a concordance result into an intervention recommendation."
"disease-progression-longitudinal","disease-progression-longitudinal","02_normalized/disease-progression-longitudinal.yaml","biomarker-and-signature-analysis","","_source_workflows/disease-progression-longitudinal/WORKFLOW.md","biomarker-and-signature-analysis/references/source_workflows/disease-progression-longitudinal/WORKFLOW.md","rr_61bc3fdbba5bc561;rr_035bfd27d064b0b6;rr_da9c064a94083225;rr_78609fcc8c7914c6;rr_178baeb270b10c13;rr_6aba97b6dceeffd7;rr_980072f6e7547905;rr_0404370e1c073613;rr_32a338ae79d4e363;rr_95ec32fb39850ae1;rr_7c64d21dfafb90c9;rr_32759e44dac0ad56;rr_c7b429cd4d820e26;rr_c93925f2c5fb39a1;rr_a00d65ca7896bfaf;rr_890fe069507983b3","_source_workflows/disease-progression-longitudinal/provenance.md","PASS","Retain longitudinal ordering, patient/timepoint structure, and trajectory uncertainty; do not merge with cross-sectional signatures without a time design."
"drug-bioactivity-chembl","drug-bioactivity-chembl","02_normalized/drug-bioactivity-chembl.yaml","small-molecule-modeling-and-safety","","_source_workflows/drug-bioactivity-chembl/WORKFLOW.md","small-molecule-modeling-and-safety/references/source_workflows/drug-bioactivity-chembl/WORKFLOW.md","rr_8984eae6e7f66a4e;rr_4691613adbc7e086;rr_806458b94ba25e08;rr_178baeb270b10c13;rr_78609fcc8c7914c6;rr_665edbde6fc3cd1c;rr_08705214f971900b","_source_workflows/drug-bioactivity-chembl/provenance.md","PASS","Keep measured potency/selectivity profiling and assay-context aggregation distinct from predictive QSAR; ChEMBL licensing and attribution remain resource-level constraints."
"drug-repurposing-indication-expansion","drug-repurposing-indication-expansion","02_normalized/drug-repurposing-indication-expansion.yaml","drug-repurposing-from-signatures","","_source_workflows/drug-repurposing-indication-expansion/WORKFLOW.md","drug-repurposing-from-signatures/references/source_workflows/drug-repurposing-indication-expansion/WORKFLOW.md","rr_f161b2600542f077;rr_3d7530dbe4d4d92e;rr_04f1061fb9af09a5;rr_173e1c1b4d0bb143;rr_aee0cca7a24d0430;rr_40f53a0b744cf7fb;rr_dccf06e079b40580;rr_5d8529d3ad92c7ab;rr_52851b58827148a2;rr_8c81dbcef69d1418","_source_workflows/drug-repurposing-indication-expansion/provenance.md","PASS","Consolidate with signature reversal as a repurposing route, while retaining disease-signature construction, controls, nulls, and clinical-phase annotation."
"elastic-net-biomarker-panel","elastic-net-biomarker-panel","02_normalized/elastic-net-biomarker-panel.yaml","biomarker-and-signature-analysis","","_source_workflows/elastic-net-biomarker-panel/WORKFLOW.md","biomarker-and-signature-analysis/references/source_workflows/elastic-net-biomarker-panel/WORKFLOW.md","rr_8b6a4a69fa9c2c54;rr_e9076808d73ba0c6;rr_d6992ae8bb5b438f;rr_8d900a4c285bf949;rr_1300c185f3e02f1c;rr_43f046376fe4e63a;rr_c8a494b2f458c9b8;rr_7a50dd7d85c224fe;rr_d3ddbc0323f129b9;rr_7e90b70758803bc3","_source_workflows/elastic-net-biomarker-panel/provenance.md","PASS","Preserve penalized panel selection, nested validation, and stability selection; do not treat it as generic differential expression."
"evidence-synthesis-meta-analysis","evidence-synthesis-meta-analysis","02_normalized/evidence-synthesis-meta-analysis.yaml","literature-and-evidence-synthesis","","_source_workflows/evidence-synthesis-meta-analysis/WORKFLOW.md","literature-and-evidence-synthesis/references/source_workflows/evidence-synthesis-meta-analysis/WORKFLOW.md","rr_3504098b8baec4c0;rr_13fc8c7bbfad76ce;rr_7b3e16573ac536c7;rr_5a49cf84729a19e3;rr_f3a4936deaf955aa;rr_03b6f0ca22cc5563;rr_8db715ce7dbe586f;rr_cf163fde985c291c;rr_d7cdafebdedeb9c0;rr_be85ab383c6f4070","_source_workflows/evidence-synthesis-meta-analysis/provenance.md","PASS","Preserve effect-size extraction, random-effects assumptions, heterogeneity, and forest-plot evidence; quantitative synthesis is not a narrative review."
"experimental-design-statistics","experimental-design-statistics","02_normalized/experimental-design-statistics.yaml","experimental-design-and-plate-layout","","_source_workflows/experimental-design-statistics/WORKFLOW.md","experimental-design-and-plate-layout/references/source_workflows/experimental-design-statistics/WORKFLOW.md","rr_41db1dbed20b2bbc;rr_b8908bb96c429bb2;rr_13779f4285e894b7;rr_8a7a79093107ed07;rr_ce20aa17dbcdc1c3;rr_8d51abca53017dd2;rr_33932e0b88956593;rr_e8623e790a6be56e;rr_2d8dd61de8f43652;rr_f3a4936deaf955aa;rr_4ab821cdd9f04d0b;rr_a32cb8d2e1e21824;rr_25d10152a60e41dc","_source_workflows/experimental-design-statistics/provenance.md","PASS","Retain power, sample size, batch, and multiplicity decisions; statistical assumptions and estimands must be explicit."
"fine-mapping-susie","fine-mapping-susie","02_normalized/fine-mapping-susie.yaml","genetic-causal-and-risk-analysis","","_source_workflows/fine-mapping-susie/WORKFLOW.md","genetic-causal-and-risk-analysis/references/source_workflows/fine-mapping-susie/WORKFLOW.md","rr_33d1bdd7f6208e13;rr_b345107ddd3efb90;rr_d344b0842cf4dbf7;rr_81374f2a82ece6c2;rr_df62b1ccbf286302;rr_09104d0b7d67839b;rr_e9917997ff8ceef6;rr_8cd7279de319d3ec;rr_a30aa4629727af5a;rr_17530cd533a333a5","_source_workflows/fine-mapping-susie/provenance.md","PASS","Keep ancestry-matched LD, PIP/credible-set diagnostics, and mismatch guardrails distinct from MR and PRS."
"flow-cytometry-analysis","flow-cytometry-analysis","02_normalized/flow-cytometry-analysis.yaml","immune-repertoire-and-cytometry-analysis","","_source_workflows/flow-cytometry-analysis/WORKFLOW.md","immune-repertoire-and-cytometry-analysis/references/source_workflows/flow-cytometry-analysis/WORKFLOW.md","rr_f35a5862a90a7020;rr_9b2318d8ec3c6114;rr_e69b4c4e7997039a;rr_937281a8af390f92;rr_2b63a0c8e4822081;rr_c51276ee0b0c551e;rr_8ce7a842d00b8edd;rr_3592e4771e39187d;rr_68ec190f171efc92","_source_workflows/flow-cytometry-analysis/provenance.md","PASS","Consolidate cytometry analysis at the portfolio level but retain gating, compensation, QC, manual reconciliation, and differential-abundance modes."
"functional-enrichment-from-degs","functional-enrichment-from-degs","02_normalized/functional-enrichment-from-degs.yaml","functional-enrichment-analysis","","_source_workflows/functional-enrichment-from-degs/WORKFLOW.md","functional-enrichment-analysis/references/source_workflows/functional-enrichment-from-degs/WORKFLOW.md","rr_3bd8787a4dd3450c;rr_a6380ad9877cf2e9;rr_3c14e8e48622694a;rr_9c3f70ee11a158b8;rr_cf6342a3273e2fcd;rr_d9855dfc52ef33e3;rr_b01ad7aa9e2487e3;rr_a487141e81e96829;rr_0d82df84b9b509f4;rr_bb1dd15f6427077a;rr_d2d74b6fd539c024","_source_workflows/functional-enrichment-from-degs/provenance.md","PASS","Preserve ORA/GSEA input definitions, background universe, multiple testing, and interpretation limits; clusterProfiler is optional."
"generative-molecule-design","generative-molecule-design","02_normalized/generative-molecule-design.yaml","molecular-design-and-structure","","_source_workflows/generative-molecule-design/WORKFLOW.md","molecular-design-and-structure/references/source_workflows/generative-molecule-design/WORKFLOW.md","rr_03d59d8726a45265;rr_44cdbee5c2e73e56;rr_1b587f1c2b9fb6a4;rr_806458b94ba25e08;rr_0c5cd85e984a45a9;rr_5d8529d3ad92c7ab;rr_b09421cb72f34b4a;rr_4e25afd1b941072b;rr_d28e584352dc8b5e;rr_2483ba516c173aaf;rr_2146aa7042caa628","_source_workflows/generative-molecule-design/provenance.md","PASS","Keep multi-objective generation, novelty, synthesizability, and surrogate/oracle provenance distinct from docking-only screening."
"genetic-constraint-gating","genetic-constraint-gating","02_normalized/genetic-constraint-gating.yaml","target-evidence-and-tractability","","_source_workflows/genetic-constraint-gating/WORKFLOW.md","target-evidence-and-tractability/references/source_workflows/genetic-constraint-gating/WORKFLOW.md","rr_984fb86361c56202;rr_eb9b4462a47436a3;rr_54b8ab47809f91fd;rr_35ab27166fd8a660;rr_81972d8ae31becf2;rr_a6b43a1163e33dfd;rr_f6ca7235b953bedf","_source_workflows/genetic-constraint-gating/provenance.md","PASS","Treat constraint as a target-gating evidence mode, not causal proof; preserve missing-gene reporting, thresholds, and safety interpretation boundaries."
"genetic-variant-annotation","genetic-variant-annotation","02_normalized/genetic-variant-annotation.yaml","variant-analysis-and-interpretation","","_source_workflows/genetic-variant-annotation/WORKFLOW.md","variant-analysis-and-interpretation/references/source_workflows/genetic-variant-annotation/WORKFLOW.md","rr_f6d4c81404161d63;rr_702620e238e75ca7;rr_5e71673aea7cf480;rr_35ab27166fd8a660;rr_963335ba9f90e817;rr_462bb4a10b6e915d;rr_1ef5e8722da1f7b8;rr_773b576a23d0aa55","_source_workflows/genetic-variant-annotation/provenance.md","PASS","Keep functional/clinical annotation downstream of calling and separate from actionability synthesis; adapters must disclose genome build and evidence versions."
"grn-pyscenic","grn-pyscenic","02_normalized/grn-pyscenic.yaml","regulatory-network-analysis","","_source_workflows/grn-pyscenic/WORKFLOW.md","regulatory-network-analysis/references/source_workflows/grn-pyscenic/WORKFLOW.md","rr_e0666be472094899;rr_f308f5ab9c9836fd;rr_2d9711ce444e4388;rr_0f08ddbd84f60fca;rr_0d27dcea47005c7f;rr_c3853c2b9473c34b;rr_063ec900fce6482b;rr_6390f795a84f033d;rr_de2624584033cfed;rr_1465f1f261b9f6a0;rr_bd720917d97d0bfd","_source_workflows/grn-pyscenic/provenance.md","PASS","Portable TF-network and cell-level activity inference; replace platform-specific wrappers with explicit matrix, annotation, and network inputs."
"gwas-to-function-twas","gwas-to-function-twas","02_normalized/gwas-to-function-twas.yaml","genetic-causal-and-risk-analysis","","_source_workflows/gwas-to-function-twas/WORKFLOW.md","genetic-causal-and-risk-analysis/references/source_workflows/gwas-to-function-twas/WORKFLOW.md","rr_8c29d9d25a02d2e5;rr_fde516b1d4e38c36;rr_1daed7d2bf6230cb;rr_bd152eb5a2f95708;rr_2f3c34234e95680b;rr_90e2f9b9dce6abb8;rr_5a1f563b52c2823f;rr_db9492330ecfa1f0;rr_4b4283cfa39c6e1a","_source_workflows/gwas-to-function-twas/provenance.md","PASS","Preserve GWAS-to-gene/TWAS assumptions, tissue context, colocalization caveats, and target-prioritization uncertainty."
"immune-repertoire-airr","immune-repertoire-airr","02_normalized/immune-repertoire-airr.yaml","immune-repertoire-and-cytometry-analysis","","_source_workflows/immune-repertoire-airr/WORKFLOW.md","immune-repertoire-and-cytometry-analysis/references/source_workflows/immune-repertoire-airr/WORKFLOW.md","rr_38c7c8808e9c4c89;rr_dc244376442e4837;rr_4c0299f9d7d516a5;rr_cc032b7896ea1102;rr_5d10ec2caf6d5ece;rr_74cd37e8975fad79","_source_workflows/immune-repertoire-airr/provenance.md","PASS","Consolidate under immune phenotyping but retain AIRR-specific clonality, diversity, V/J usage, overlap, and BCR somatic-hypermutation caveats."
"knowledge-graph-target-reasoning","knowledge-graph-target-reasoning","02_normalized/knowledge-graph-target-reasoning.yaml","target-evidence-and-tractability","","_source_workflows/knowledge-graph-target-reasoning/WORKFLOW.md","target-evidence-and-tractability/references/source_workflows/knowledge-graph-target-reasoning/WORKFLOW.md","rr_6c2d2b2740ea1530;rr_b3b60c838fac80b1;rr_40c513d6c4c4d4d7;rr_904457b23a696ae0;rr_1cd8978f9c801055;rr_d6f40696aed8ae23;rr_07409c0aadfd6d86","_source_workflows/knowledge-graph-target-reasoning/provenance.md","PASS","Preserve graph seed definition, path evidence, propagation assumptions, and explainability; PrimeKG/TxGNN are replaceable data/model adapters."
